slug,name
ageo,上尾・宮原
akabane,赤羽・王子・板橋
akasaka,赤坂
akihabara,秋葉原
akita,秋田
amagasaki,尼崎・西宮
aomori,青森・弘前
atsugi,本厚木・海老名
chiba,千葉
chigasaki,茅ヶ崎・平塚
chita,知多・大府・半田
chofu,調布・千歳烏山
ebisu,恵比寿・中目黒・代官山
ehime,愛媛・松山
esaka,江坂・豊中
fuchu,府中・聖蹟桜ヶ丘
fujisawa,藤沢・湘南台
fukui,福井・片町
fukushima,福島・郡山
funabashi,船橋・西船橋
gifu,岐阜・岐南・羽島
ginza,銀座
gotanda,五反田
gunma,群馬・高崎
hachioji,八王子・日野
haijima,拝島・福生
hakata,博多
hamamatsu,浜松・掛川
hatsudai,京王線・初台・笹塚
higashiosaka,東大阪・八尾
himeji,姫路・明石
hiroshima,広島・福山
honmachi,本町・堺筋本町
horita,堀田・新瑞橋
hoshigaoka,星ヶ丘・藤が丘
ibaraki,茨城央北（水戸・神栖）
ichihara,市原・木更津・房総
ichikawa,市川・本八幡
iidabashi,四ツ谷・飯田橋・市ヶ谷
ikebukuro,池袋
ishikawa,石川・金沢
iwate,岩手・盛岡
jiyugaoka,自由が丘・学芸大学
juso,十三・西淀川
kagawa,香川・高松
kagoshima,鹿児島・霧島
kamata,蒲田
kameari,北千住・亀有
kameido,亀戸・小岩
kanayama,金山・熱田
kanda,神田
kasadera,笠寺・柴田
kasai,葛西・西葛西
kashiwa,柏・我孫子
kawagoe,川越・東松山
kawasaki,川崎・鶴見
kichijoji,吉祥寺・三鷹
kinshicho,錦糸町・押上・両国
kitakyushu,北九州・小倉
kobe,神戸・三宮
kochi,高知
kokubunji,国分寺・国立
komaki,小牧・春日井
koshigaya,越谷・春日部
kumagaya,熊谷・行田
kumamoto,熊本・玉名
kumegawa,久米川・秋津
kurokawa,黒川・大曽根
kurume,久留米・筑後
kyobashi,京橋・守口
kyoto,京都・祇園
machida,町田・鶴川
matsudo,松戸・八柱
meguro,目黒・武蔵小山
mie,四日市・鈴鹿
mino,美濃・多治見・飛騨
miyazaki,宮崎
mizonokuchi,溝
monnaka,門前仲町・東陽町
moriyama,守山・小幡
musashikosugi,武蔵小杉・日吉
nagano,長野・松本
nagasaki,長崎・佐世保
nagoya,名古屋・名駅・納屋橋
nakano,中野・高円寺
nara,奈良・生駒
narita,成田・富里
nerima,西武池袋線・練馬・江古田
nihonbashi,日本橋・茅場町
niigata,新潟・長岡
nippori,鶯谷・日暮里
nishikawaguchi,西川口・蕨
nishinakajima,西中島・新大阪
nishitokyo,西東京・東久留米・清瀬
noborito,登戸・向ヶ丘遊園
numazu,沼津・富士
odawara,小田原
ofuna,大船・戸塚
ogaki,大垣・瑞穂
ogikubo,荻窪・阿佐ヶ谷
oita,大分
okayama,岡山・倉敷
okinawa,沖縄・那覇
okubo,大久保・高田馬場
omiya,大宮・さいたま
ooyama,東武東上線・大山・下赤塚
osakakita,大阪キタ・梅田
osakaminami,難波・日本橋
otai,小田井・比良
otsuka,大塚・巣鴨・駒込
owari,尾張・一宮
roppongi,六本木・麻布十番
saga,佐賀・小城
sagamihara,相模原・橋本
sagamiono,相模大野・小田急相模原
saginuma,鷺沼・たまプラーザ・青葉台
sakae,栄
sakai,堺・南大阪
sangenjaya,三軒茶屋
sapporo,北海道・札幌（すすき
sendai,宮城・仙台
shakujii,西武新宿線・上石神井
shibuya,渋谷・代々木・原宿
shiga,滋賀・大津
shiki,志木・みずほ台
shimane,島根・松江
shimokitazawa,小田急線沿線・下北沢
shinagawa,品川・田町・浜松町
shinbashi,新橋
shinjuku,新宿
shinsaibashi,心斎橋
shinsakae,新栄町・千種・今池
shinyokohama,新横浜・菊名
shizuoka,静岡・中部
showa,名古屋・昭和区・天白区
souka,草加・谷塚
suidobashi,水道橋・御茶ノ水
tachikawa,立川
tanikyu,谷町九丁目
tenma,天満・南森町
tochigi,栃木・宇都宮
tokaidori,東海通・高畑
tokorozawa,所沢・入間
tokushima,徳島
tokyo,東京・八重洲
tottori,鳥取・米子
toyama,富山・高岡
toyohashi,東三河・豊橋・豊川
toyota,西三河・豊田・岡崎
tsu,津・松阪・南部
tsudanuma,津田沼・習志野
tsukuba,茨城西南（つくば・土浦）
tsurumai,大須・鶴舞
ueno,上野・浅草・御徒町
urawa,浦和・武蔵浦和
urayasu,浦安・行徳
wakayama,和歌山
yachiyo,八千代・四街道・佐倉
yamagata,山形・米沢
yamaguchi,山口・下関
yamanashi,山梨・甲府
yamato,大和・南林間
yokohama,横浜・関内
